,wine_id,wine_name,wine_avg_rating,wine_ratings_count,vintages_number,average_price
0,77137,Unico,4.7,45140,3,631.87
1,1153863,Sauternes,4.7,44126,9,973.28
2,66294,Special Selection Cabernet Sauvignon,4.7,41236,2,420.25
3,1166837,Pomerol,4.7,32157,6,5948.33
4,1136930,Grange,4.7,24356,4,1066.45
5,2446729,Toscana,4.7,16284,24,2551.35
6,77136,Unico Reserva Especial Edición,4.7,13025,1,644.95
7,66284,Cabernet Sauvignon,4.6,157944,1,177.95
8,86684,Brut Champagne,4.6,146377,5,437.27
9,5078,Sassicaia,4.6,107646,25,990.24
10,1911534,Opus One,4.6,77053,6,720.25
11,1684223,Pauillac (Premier Grand Cru Classé),4.6,73615,10,1098.5
12,1175427,Valbuena 5º,4.6,72784,2,191.08
13,4086,Almaviva,4.6,48075,3,191.67
14,22447,Bolgheri Superiore,4.6,47939,26,556.97
15,1127795,Château Margaux (Premier Grand Cru Classé),4.6,45350,14,1135.82
16,74304,Cristal Brut Champagne (Millésimé),4.6,42456,7,996.61
17,1152755,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605,15,1103.06
18,3908,Pauillac (Premier Grand Cru Classé),4.6,39283,19,1758.12
19,1655970,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521,10,1504.86
20,1651,Tenuta Tignanello 'Solaia',4.6,33143,8,808.06
21,16587,Insignia,4.6,30674,4,405.94
22,7122486,Grande Cuvée,4.6,28513,1,245.0
23,1148747,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198,11,983.08
24,13759,Clos Apalta,4.6,23256,2,231.35
25,10175,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,22896,9,631.58
26,79631,Vintage,4.6,16918,3,1511.25
27,5194,Rutherford,4.6,16322,3,250.81
28,2114480,Brut Rosé Champagne,4.6,13747,1,625.0
29,3879,Cabernet Sauvignon (Signature),4.6,13730,1,106.96
30,5571323,La Piu Belle,4.6,13420,1,79.95
31,1958101,Vin de Constance (Natural Sweet),4.6,13210,1,66.08
32,1692390,Sir Winston Churchill Brut Champagne,4.6,12873,1,683.75
33,1256452,'Giulio Ferrari' Riserva del Fondatore,4.6,12592,10,534.88
34,66194,Sperss Barolo,4.6,10950,11,608.3
35,1755765,Kurni Marche,4.6,10261,1,212.5
36,1652,Tignanello,4.5,142513,16,430.56
37,11890,60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289,2,44.35
38,77171,Ribera del Duero,4.5,69278,1,81.64
39,1658,Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392,4,402.81
40,79814,Flor de Pingus,4.5,32932,2,165.14
41,7073,Papillon,4.5,30682,2,147.98
42,9220,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026,8,500.94
43,1558589,Brunello di Montalcino,4.5,27452,17,374.21
44,1136950,Comtes de Champagne Blanc de Blancs,4.5,27449,2,500.63
45,18931,La Grande Année Brut Champagne,4.5,24646,2,267.58
46,1219218,Clio,4.5,24553,1,54.95
47,66104,Barbaresco,4.5,24516,16,644.53
48,11001,Castillo Ygay Gran Reserva Especial Tinto,4.5,23170,1,235.0
49,9958,Dominus (Christian Moueix),4.5,22117,1,765.9
50,22721,Flaccianello della Pieve,4.5,21518,5,275.28
51,1176121,Ben Ryé Passito di Pantelleria,4.5,21351,1,68.5
52,79162,Belle Epoque Brut Champagne,4.5,20992,2,256.25
53,9712,Tenuta Nuova Brunello di Montalcino,4.5,20934,5,312.1
54,1169307,Isosceles,4.5,18920,1,78.17
55,1235058,Gran Enemigo,4.5,18739,1,69.95
56,25474,Aconcagua Valley,4.5,18482,5,128.98
57,1192720,Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466,1,287.0
58,79836,La Grande Dame Brut Champagne,4.5,17474,1,832.5
59,4848,Overture,4.5,16804,1,180.0
60,1135642,One Point Five Cabernet Sauvignon,4.5,16341,1,125.95
61,1605285,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975,7,901.57
62,1179539,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671,7,401.65
63,89753,Valpolicella Superiore Monte Lodoletta,4.5,13024,5,231.0
64,84066,Valpolicella Classico Superiore,4.5,12262,2,119.88
