,wine_id,wine_name,wine_avg_rating,wine_ratings_count,vintages_number,average_price,country_name
0,11890,60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289,1,24.75,Italie
1,1139434,Tinto,4.4,65625,1,42.95,Espagne
2,12393,Amarone della Valpolicella Classico,4.4,48329,1,46.25,Italie
3,1383553,Roda I Reserva Rioja,4.4,22749,1,40.98,Espagne
4,1148298,Brut Rosé Champagne,4.4,21147,1,49.61,France
5,1129440,Old Vines Primitivo di Manduria,4.4,20904,1,20.95,Italie
6,75978,Quinta da Leda Douro,4.4,14197,1,30.0,Portugal
7,76476,Belondrade y Lurton,4.4,13567,1,49.75,Espagne
8,2355320,Fusion V,4.4,12877,1,36.1,Afrique du Sud
9,6331780,Guerriero della Terra,4.4,10185,2,26.68,Italie
10,7103,Amarone della Valpolicella Classico,4.3,77515,1,49.8,Italie
11,12263,Ribera del Duero Reserva,4.3,37394,2,44.95,Espagne
12,11604,Malleolus,4.3,34630,1,35.95,Espagne
13,1174845,Sauternes (Premier Grand Cru Classé),4.3,17293,1,49.9,France
14,2246136,Memorias,4.3,15980,1,29.95,Chili
15,1251730,Reserva Ribera del Duero,4.3,11233,1,39.55,Espagne
16,1173140,San Vicente Rioja,4.3,10701,1,49.95,Espagne
17,16504,Malbec,4.2,33640,1,25.99,Argentine
18,18017,Châteauneuf-du-Pape,4.2,13917,1,44.65,France
