,country_name,avg_rating,wine_count,count_rating,impact_score
0,Italie,4.430026109660581,383,2135839,1696.7000000000025
1,France,4.447129909365562,331,2124809,1472.000000000001
2,Espagne,4.4436170212765935,94,746710,417.6999999999998
3,États-Unis,4.4905405405405405,74,834263,332.3
4,Portugal,4.435714285714287,28,62454,124.20000000000003
5,Argentine,4.417391304347826,23,283673,101.60000000000001
6,Afrique du Sud,4.459090909090909,22,59995,98.1
7,Chili,4.43125,16,159256,70.9
8,Allemagne,4.500000000000001,14,8257,63.000000000000014
9,Australie,4.458333333333333,12,52138,53.5
10,Hongrie,4.472727272727273,11,30564,49.2
11,Moldavie,4.4799999999999995,5,14114,22.4
12,Grèce,4.4,2,610,8.8
13,Suisse,4.35,2,1047,8.7
14,Israël,4.5,1,894,4.5
15,Roumanie,4.4,1,166,4.4
16,Croatie,4.3,1,292,4.3
