,Wine Name,Wine ID,Average Price (Euros),Rating Count,Average Rating,Country
0,Tignanello,1652,430.5625,81378,4.5375000000000005,Italie
1,Sassicaia,5078,990.2379999999998,69137,4.22,Italie
2,Brut Champagne,86684,437.26599999999996,48835,4.58,France
3,Brut Cuvée Champagne Rosé,8305,72.0,36681,4.4,France
4,Bolgheri Superiore,22447,556.9711538461538,28703,4.599999999999998,Italie
5,Grande Cuvée,7122486,245.0,28513,4.6,France
6,Opus One,1911534,720.2533333333334,24607,4.6499999999999995,États-Unis
7,Brut Rosé Champagne,1211816,81.5,23241,4.4,France
8,Brut Rosé Champagne,1148298,49.61,21147,4.4,France
9,Cristal Brut Champagne (Millésimé),74304,996.6071428571429,20293,4.642857142857143,France
