,wine_id,wine_name,rating,group_flavor
0,1268,St. Henri Shiraz,4.4,coffee (oak)
1,1268,St. Henri Shiraz,4.4,cream (microbio)
2,1471,Siepi,4.4,coffee (oak)
3,1471,Siepi,4.4,toast (microbio)
4,1647,Solare Toscana,4.2,coffee (oak)
5,1651,Tenuta Tignanello 'Solaia',4.6,coffee (oak)
6,1651,Tenuta Tignanello 'Solaia',4.6,cream (microbio)
7,1651,Tenuta Tignanello 'Solaia',4.6,toast (microbio)
8,1652,Tignanello,4.5,citrus (citrus_fruit)
9,1652,Tignanello,4.5,coffee (oak)
10,1652,Tignanello,4.5,cream (microbio)
11,1652,Tignanello,4.5,toast (microbio)
12,1658,Tenuta Guado al Tasso Bolgheri Superiore,4.5,coffee (oak)
13,1658,Tenuta Guado al Tasso Bolgheri Superiore,4.5,cream (microbio)
14,1658,Tenuta Guado al Tasso Bolgheri Superiore,4.5,toast (microbio)
15,1675,Pian delle Vigne Brunello di Montalcino,4.3,coffee (oak)
16,1675,Pian delle Vigne Brunello di Montalcino,4.3,cream (microbio)
17,1675,Pian delle Vigne Brunello di Montalcino,4.3,toast (microbio)
18,1688,Castello della Sala Cervaro della Sala,4.4,citrus (citrus_fruit)
19,1688,Castello della Sala Cervaro della Sala,4.4,cream (microbio)
20,1688,Castello della Sala Cervaro della Sala,4.4,green apple (tree_fruit)
21,1688,Castello della Sala Cervaro della Sala,4.4,toast (microbio)
22,1690,Castello della Sala Muffato della Sala,4.3,citrus (citrus_fruit)
23,1690,Castello della Sala Muffato della Sala,4.3,cream (microbio)
24,1697,Chardonnay,4.3,citrus (citrus_fruit)
25,1697,Chardonnay,4.3,cream (microbio)
26,1697,Chardonnay,4.3,green apple (tree_fruit)
27,1697,Chardonnay,4.3,toast (microbio)
28,1835,Amarone della Valpolicella Classico,4.4,coffee (oak)
29,1835,Amarone della Valpolicella Classico,4.4,cream (microbio)
30,1868,Nicolás Catena Zapata,4.4,coffee (oak)
31,1868,Nicolás Catena Zapata,4.4,cream (microbio)
32,1869,Malbec Argentino,4.4,coffee (oak)
33,1869,Malbec Argentino,4.4,cream (microbio)
34,1869,Malbec Argentino,4.4,toast (microbio)
35,2997,Puligny-Montrachet 1er Cru 'La Garenne',4.4,toast (microbio)
36,3715,Monte Bello,4.5,coffee (oak)
37,3715,Monte Bello,4.5,cream (microbio)
38,3715,Monte Bello,4.5,toast (microbio)
39,3879,Cabernet Sauvignon (Signature),4.6,coffee (oak)
40,3879,Cabernet Sauvignon (Signature),4.6,cream (microbio)
41,3908,Pauillac (Premier Grand Cru Classé),4.6,coffee (oak)
42,3908,Pauillac (Premier Grand Cru Classé),4.6,cream (microbio)
43,3908,Pauillac (Premier Grand Cru Classé),4.6,toast (microbio)
44,4086,Almaviva,4.6,coffee (oak)
45,4086,Almaviva,4.6,cream (microbio)
46,4086,Almaviva,4.6,toast (microbio)
47,4793,Mille E Una Notte,4.3,coffee (oak)
48,4793,Mille E Una Notte,4.3,cream (microbio)
49,4848,Overture,4.5,coffee (oak)
50,4848,Overture,4.5,cream (microbio)
51,5078,Sassicaia,4.6,citrus (citrus_fruit)
52,5078,Sassicaia,4.6,coffee (oak)
53,5078,Sassicaia,4.6,cream (microbio)
54,5078,Sassicaia,4.6,toast (microbio)
55,5194,Rutherford,4.6,coffee (oak)
56,5194,Rutherford,4.6,cream (microbio)
57,5261,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,coffee (oak)
58,5278,Relentless,4.5,coffee (oak)
59,5278,Relentless,4.5,cream (microbio)
60,6020,Pavillon Rouge du Château Margaux,4.4,coffee (oak)
61,6020,Pavillon Rouge du Château Margaux,4.4,cream (microbio)
62,6020,Pavillon Rouge du Château Margaux,4.4,toast (microbio)
63,6892,Les Pavots,4.6,coffee (oak)
64,6892,Les Pavots,4.6,cream (microbio)
65,6935,Toscana Batar,4.3,citrus (citrus_fruit)
66,6935,Toscana Batar,4.3,cream (microbio)
67,6935,Toscana Batar,4.3,green apple (tree_fruit)
68,6935,Toscana Batar,4.3,toast (microbio)
69,6942,Toscana Camartina,4.3,coffee (oak)
70,7073,Papillon,4.5,coffee (oak)
71,7073,Papillon,4.5,cream (microbio)
72,7073,Papillon,4.5,toast (microbio)
73,7103,Amarone della Valpolicella Classico,4.3,citrus (citrus_fruit)
74,7103,Amarone della Valpolicella Classico,4.3,coffee (oak)
