,code,country_name,rating,ratings_sum,type
7,za,Afrique du Sud,4.46,59995,Wine
4,ar,Argentine,4.42,283673,Wine
8,au,Australie,4.46,52138,Wine
5,cl,Chili,4.43,159256,Wine
3,es,Espagne,4.44,746710,Wine
1,fr,France,4.45,2124809,Wine
9,hu,Hongrie,4.47,30564,Wine
0,it,Italie,4.43,2135839,Wine
10,md,Moldavie,4.48,14114,Wine
6,pt,Portugal,4.44,62454,Wine
2,us,États-Unis,4.49,834263,Wine
6,za,Afrique du Sud,3.66,5636,Vintage
4,ar,Argentine,4.32,16951,Vintage
9,au,Australie,2.83,3804,Vintage
5,cl,Chili,4.12,14080,Vintage
3,es,Espagne,3.38,49032,Vintage
1,fr,France,3.07,405061,Vintage
10,hu,Hongrie,3.17,3010,Vintage
0,it,Italie,3.63,467941,Vintage
8,md,Moldavie,3.87,4194,Vintage
7,pt,Portugal,3.93,5532,Vintage
2,us,États-Unis,3.7,102332,Vintage
